iata_code,approx_passengers,approx_departures,approx_arrivals
ABE,451490,6620,6488
ABI,97461,2315,2635
ABQ,2729021,30167,30040
ABR,23769,981,1024
ABY,30311,1276,1285
ACK,152003,10927,11083
ACT,57644,1175,1175
ACV,133676,2413,2629
ACY,499879,3659,3649
ADK,2179,123,123
ADQ,86585,6229,6239
AEX,129662,2843,2829
AGS,304133,5068,5055
AIA,4206,628,629
AKN,40093,5467,5491
ALB,1503774,16737,16767
ALO,12462,683,680
ALS,12227,630,627
ALW,36870,709,708
AMA,418354,5980,5989
ANC,2702278,71765,65160
ANI,5526,3801,3804
AOO,5137,598,594
APN,11150,856,1033
ART,23153,651,648
ASE,349522,7560,7560
ATL,45478621,345209,345083
ATW,540760,7647,7647
ATY,14132,627,633
AUG,5224,1193,1188
AUS,10273729,90001,89872
AVL,1097490,12844,12860
AVP,221233,3289,3289
AZA,980722,6598,6468
AZO,92554,1926,1924
BDL,3246935,29893,29987
BET,168264,41962,42028
BFD,3522,1059,1051
BFF,15459,922,1004
BFL,195456,3205,3221
BGM,24471,415,414
BGR,373279,5593,5553
BHB,10669,1726,1726
BHM,1631579,19884,20052
BIH,10072,516,521
BIL,479100,11185,11301
BIS,297177,4360,4511
BJI,28600,993,1134
BKG,2846,30,30
BKW,18048,1198,1198
BLI,266900,3481,3601
BLV,153151,1072,1072
BMI,162259,2903,2904
BNA,11875070,104088,104061
BOI,2483177,29301,29307
BOS,16874194,164312,164641
BPT,33907,724,724
BQK,42760,811,811
BRD,16253,664,664
BRL,3934,1054,1048
BRO,188149,3379,3375
BRW,43468,3963,4061
BTM,15768,696,696
BTR,421285,6669,6666
BTV,670466,9519,9535
BUF,2509317,25560,25577
BUR,3395462,38707,38676
BWI,12714673,103524,103825
BZN,1323422,11813,11822
CAE,662995,11960,11944
CAK,382694,4786,4777
CDB,5039,1640,1610
CDC,11965,895,909
CDR,1313,352,343
CDV,32516,1136,1137
CEZ,8799,1255,1261
CGI,9171,630,632
CHA,564374,8634,8630
CHO,351646,6729,6721
CHS,3137202,29875,30476
CID,763110,9905,9912
CIU,26479,980,1026
CKB,42274,873,874
CLE,4850683,44669,44468
CLL,70004,1242,1233
CLT,26230008,255929,256004
CMH,4376056,44519,44513
CMI,87082,1655,1656
CMX,25828,962,944
CNM,4076,982,984
CNY,10612,673,693
COD,37436,922,925
COS,1275480,13859,13930
COU,103150,2143,2145
CPR,99908,3799,3807
CRP,378052,5873,5828
CRW,203066,3649,3644
CSG,63445,1340,1330
CVG,4382173,64116,64843
CVN,12031,619,623
CWA,90354,2003,2012
CYS,28108,687,685
DAB,339534,3070,3073
DAL,8798543,75177,75119
DAY,626653,10405,10417
DBQ,6236,101,101
DCA,12512465,141063,141110
DDC,10162,624,624
DEC,17257,775,775
DEN,37909172,321994,321941
DFW,36382528,320463,320632
DHN,39338,1019,777
DIK,26143,921,919
DLG,34592,6242,6265
DLH,137717,2543,2531
DRO,250702,4334,4543
DRT,0,484,477
DSM,1569967,16877,16904
DTW,14452292,134798,134879
DUJ,5579,1821,1792
DUT,22779,2551,2560
DVL,13085,660,660
EAR,14130,935,1125
EAT,44459,729,726
EAU,22912,275,278
ECP,925998,9401,9422
EGE,282684,3814,3815
EKO,12881,366,366
ELD,2562,706,708
ELM,85683,1240,1212
ELP,2074997,22012,22151
ENA,75380,13857,14521
ERI,46719,1003,1005
ESC,17114,912,924
EUG,825747,9323,9321
EVV,189644,3479,3671
EWN,88950,2305,2310
EWR,16942091,147951,146590
EYW,740793,12576,12752
FAI,573567,17997,18002
FAR,554242,9640,9357
FAT,1107327,12726,12754
FAY,169165,3111,3114
FCA,503865,5626,5627
FLG,79059,2391,2507
FLL,13674638,97426,97224
FLO,25076,842,841
FNL,3052,32,34
FNT,286011,3670,3468
FOD,11369,624,624
FSD,704744,10086,10046
FSM,59453,1163,1164
FWA,425328,7428,7430
GCC,30304,741,741
GCK,31675,969,969
GDV,2130,688,689
GEG,2069196,23405,24972
GFK,92666,1313,1308
GGG,36590,755,756
GGW,2970,685,683
GJT,278936,4950,4868
GLH,6581,356,358
GNV,291194,4358,4358
GPT,432601,5324,5321
GRB,338988,5432,5424
GRI,67663,1274,1045
GRK,92910,1813,1825
GRR,2079015,21264,21034
GSO,994775,16300,16152
GSP,1429407,18747,18572
GST,10080,1148,1156
GTF,187171,4813,4782
GTR,47450,754,754
GUC,58764,1156,1154
HDN,228008,2868,2823
HGR,41595,290,289
HHH,108490,1840,1850
HIB,11294,637,638
HLN,101599,1969,1970
HNH,5723,1363,1368
HNL,8725224,84067,83648
HNM,2656,801,811
HNS,8100,1676,1666
HOB,26393,741,744
HOM,27991,6298,6385
HOT,3299,778,788
HOU,6711732,58091,58070
HPN,1179247,16838,16820
HRL,541991,7003,6938
HRO,4032,770,754
HSV,814718,13558,13565
HTS,93386,1734,1982
HVN,589266,4349,4322
HVR,3095,685,685
HYA,25274,5426,5422
HYS,17538,665,666
IAD,8097299,86959,87571
IAG,59338,507,508
IAH,17539811,170715,171112
ICT,909586,12933,13073
IDA,303275,4697,4709
ILG,124919,938,937
ILM,738455,10280,10283
IMT,19479,983,977
IND,5194000,60772,60544
INL,14799,656,656
IPL,4183,1270,1268
IRK,5611,622,624
ISP,686662,5263,5284
ITH,69563,1431,1418
ITO,680629,8547,8674
IWD,7090,627,627
JAC,518517,5610,5611
JAN,630611,9207,9223
JAX,3780630,33099,33182
JBR,2236,693,685
JFK,13933663,127460,127981
JHM,1696,696,1381
JLN,18362,626,626
JMS,17534,589,589
JNU,455924,14762,14767
JST,17690,732,734
KOA,1984120,19469,19614
KSM,6072,3218,3196
KTN,236245,6868,6912
LAN,115240,2964,2980
LAR,19053,633,633
LAS,26515132,202584,202522
LAW,44493,1102,1103
LAX,26340206,206637,207004
LBB,572831,9898,9734
LBE,76953,609,612
LBF,16537,890,950
LBL,12182,554,554
LCH,91670,1963,1940
LCK,143421,2189,2184
LEB,10765,2159,2167
LEX,777884,10136,10141
LFT,264760,5321,5312
LGA,15840703,159370,159413
LGB,2060961,17953,17962
LIH,1767428,17882,18083
LIT,1166990,15348,15348
LNK,130817,2733,2731
LNS,8371,1469,1465
LNY,25186,4736,4937
LRD,153709,5046,5227
LSE,40867,946,946
LWB,8982,616,616
LWS,55459,1107,1109
LYH,81904,1930,1929
MAF,780901,11598,12151
MBL,6968,961,962
MBS,111139,2242,2242
MCI,5907847,55111,55042
MCK,2707,807,835
MCN,17402,682,685
MCO,24153975,167057,166982
MCW,8337,615,615
MDT,734616,10433,10206
MDW,10100277,79285,79229
MEI,17881,625,625
MEM,2468198,82214,80322
MFE,601422,6680,6700
MFR,503591,7439,7394
MGM,195394,3407,3411
MGW,7951,1744,1742
MHK,85302,1685,1677
MHT,634235,9644,9678
MIA,14969632,117448,117739
MKE,3091211,33505,33317
MKG,2705,718,716
MKK,84039,11625,12032
MKL,3379,570,562
MLB,263625,2891,2887
MLI,327266,5290,5299
MLU,105394,2028,2028
MOB,315302,5312,5305
MOT,169470,2783,2861
MQT,44566,1160,1369
MRY,305247,5248,5173
MSL,7373,436,438
MSN,1161993,14527,14415
MSO,511964,5922,5939
MSP,16338959,145783,146275
MSS,5406,1051,1048
MSY,6470310,53061,53185
MTJ,266377,2889,2893
MVY,82223,5762,5934
MWA,13942,646,646
MYR,1906347,17553,17605
OAJ,145314,2763,2764
OAK,5036430,54132,54415
OGD,15787,196,197
OGG,3299779,36836,37029
OGS,6263,516,517
OKC,2311284,25897,25953
OLF,3183,677,676
OMA,2618814,26863,26856
OME,70605,10308,10320
ONT,3314985,42376,42124
ORD,31683551,328086,329047
ORF,2471705,25514,25634
ORH,112838,1364,1375
OTH,20463,967,894
OTZ,63134,10090,10110
OWB,8831,637,639
PAE,276093,3389,3383
PAH,13429,634,631
PBG,93237,1252,1251
PBI,4103353,31645,31635
PDT,6579,1085,1086
PDX,8239244,81043,81597
PGA,19452,1527,1794
PGD,958157,6261,6251
PGV,42541,1044,1049
PHF,69342,1655,1656
PHL,13231652,129624,129854
PHX,24290346,208622,208453
PIA,343702,4970,4974
PIB,17248,633,629
PIE,1229765,8336,8322
PIH,25303,967,1175
PIR,14880,872,888
PIT,4782209,51528,51576
PKB,6857,620,619
PLN,31031,1109,1290
PNS,1537569,15781,15828
PQI,21608,839,1085
PRC,25290,749,748
PSC,478038,7243,6416
PSG,55082,1227,1229
PSM,57377,453,455
PSP,1433120,14646,14653
PUB,2362,406,409
PUW,64623,1073,1071
PVC,6882,1486,1490
PVD,1990470,20946,20812
PVU,455810,3498,3492
PWM,1222376,14285,14075
RAP,423025,5881,5894
RDD,88565,2302,2160
RDM,601574,8772,8945
RDU,7328063,66919,67108
RFD,138744,11078,11003
RHI,24813,1118,1261
RIC,2486507,27600,27602
RIW,21624,627,627
RKD,7282,1383,1381
RKS,21564,929,885
RNO,2354499,24987,24809
ROA,382595,7486,7506
ROC,1335318,16783,16860
ROW,48908,1000,998
RST,101938,2470,2657
RSW,5279987,38303,38298
RUT,4481,905,894
SAF,180132,3417,3426
SAN,12384394,97741,97804
SAT,5190902,45773,45676
SAV,2034700,21833,21851
SBA,699776,8721,8788
SBD,20009,4554,4415
SBN,456286,7587,7601
SBP,366112,5984,6154
SBY,60490,1834,1833
SCC,97670,3030,2960
SCE,134075,3797,3752
SCK,63655,1222,1226
SDF,2381507,74603,73963
SDP,6154,1109,1146
SDY,7331,1681,1684
SEA,22288303,191107,191040
SFB,1384838,9448,9444
SFO,17666714,138571,138528
SGF,703480,11246,11258
SGU,161254,3340,3288
SGY,5458,1273,1271
SHD,8717,630,621
SHR,29459,730,730
SHV,358096,6864,6909
SIT,129886,4203,4214
SJC,5547234,52111,51995
SJT,50057,1438,1735
SLC,12910474,118793,118258
SLK,4845,1080,1058
SLN,21160,748,756
SMF,6502669,59380,59582
SMX,13755,876,800
SNA,5207539,47578,47387
SNP,1662,356,355
SOW,3654,480,485
SPI,52342,951,951
SPS,33209,775,775
SRQ,2111730,16602,16605
STC,23876,164,162
STL,7636845,72091,72165
STS,382401,5356,5356
SUN,120985,2566,2590
SUX,28412,745,747
SWF,95044,1232,1394
SWO,34729,761,759
SYR,1494612,18450,18454
TBN,11237,598,594
TEX,10580,614,613
TLH,473651,8518,8629
TOL,66781,1132,1129
TPA,11407613,86286,86359
TRI,231077,4277,4280
TTN,241887,1774,1783
TUL,1665687,20396,20405
TUP,16175,769,767
TUS,1974784,20491,20523
TVC,393589,5665,5695
TVF,8675,1075,1079
TWF,33472,1103,1415
TXK,37230,741,741
TYR,51275,1098,1098
TYS,1643661,20819,20817
UIN,4108,1519,1510
USA,132323,938,937
VCT,14007,630,631
VDZ,2891,345,342
VEL,10571,623,624
VLD,46739,767,768
VPS,1165928,9976,9978
WRG,57466,1159,1161
WYS,9565,310,310
XNA,1127164,15601,15608
XWA,99730,2314,2363
YAK,24681,1112,1112
YKM,41924,1477,1285
YUM,79900,1793,1820
