date,holiday_name,types
2019-01-01,New Year's Day,"['Public', 'Bank']"
2019-01-21,"Martin Luther King, Jr. Day","['Public', 'Bank']"
2019-02-12,Lincoln's Birthday,['Observance']
2019-02-18,Presidents Day,"['Public', 'Bank']"
2019-05-27,Memorial Day,"['Public', 'Bank']"
2019-07-04,Independence Day,"['Public', 'Bank']"
2019-09-02,Labour Day,"['Public', 'Bank']"
2019-10-14,Columbus Day,['Bank']
2019-11-11,Veterans Day,"['Public', 'Bank']"
2019-11-28,Thanksgiving Day,"['Public', 'Bank']"
2019-12-25,Christmas Day,"['Public', 'Bank']"
2020-01-01,New Year's Day,"['Public', 'Bank']"
2020-01-20,"Martin Luther King, Jr. Day","['Public', 'Bank']"
2020-02-12,Lincoln's Birthday,['Observance']
2020-02-17,Presidents Day,"['Public', 'Bank']"
2020-05-25,Memorial Day,"['Public', 'Bank']"
2020-07-03,Independence Day,"['Public', 'Bank']"
2020-09-07,Labour Day,"['Public', 'Bank']"
2020-10-12,Columbus Day,['Bank']
2020-11-11,Veterans Day,"['Public', 'Bank']"
2020-11-26,Thanksgiving Day,"['Public', 'Bank']"
2020-12-25,Christmas Day,"['Public', 'Bank']"
2021-01-01,New Year's Day,"['Public', 'Bank']"
2021-01-18,"Martin Luther King, Jr. Day","['Public', 'Bank']"
2021-02-12,Lincoln's Birthday,['Observance']
2021-02-15,Presidents Day,"['Public', 'Bank']"
2021-05-31,Memorial Day,"['Public', 'Bank']"
2021-06-18,Juneteenth National Independence Day,"['Public', 'Bank']"
2021-07-05,Independence Day,"['Public', 'Bank']"
2021-09-06,Labour Day,"['Public', 'Bank']"
2021-10-11,Columbus Day,['Bank']
2021-11-11,Veterans Day,"['Public', 'Bank']"
2021-11-25,Thanksgiving Day,"['Public', 'Bank']"
2021-12-24,Christmas Day,"['Public', 'Bank']"
2021-12-31,New Year's Day,"['Public', 'Bank']"
2022-01-17,"Martin Luther King, Jr. Day","['Public', 'Bank']"
2022-02-12,Lincoln's Birthday,['Observance']
2022-02-21,Presidents Day,"['Public', 'Bank']"
2022-05-30,Memorial Day,"['Public', 'Bank']"
2022-06-20,Juneteenth National Independence Day,"['Public', 'Bank']"
2022-07-04,Independence Day,"['Public', 'Bank']"
2022-09-05,Labour Day,"['Public', 'Bank']"
2022-10-10,Columbus Day,['Bank']
2022-11-11,Veterans Day,"['Public', 'Bank']"
2022-11-24,Thanksgiving Day,"['Public', 'Bank']"
2022-12-26,Christmas Day,"['Public', 'Bank']"
2023-01-02,New Year's Day,"['Public', 'Bank']"
2023-01-16,"Martin Luther King, Jr. Day","['Public', 'Bank']"
2023-02-12,Lincoln's Birthday,['Observance']
2023-02-20,Presidents Day,"['Public', 'Bank']"
2023-05-29,Memorial Day,"['Public', 'Bank']"
2023-06-19,Juneteenth National Independence Day,"['Public', 'Bank']"
2023-07-04,Independence Day,"['Public', 'Bank']"
2023-09-04,Labour Day,"['Public', 'Bank']"
2023-10-09,Columbus Day,['Bank']
2023-11-10,Veterans Day,"['Public', 'Bank']"
2023-11-23,Thanksgiving Day,"['Public', 'Bank']"
2023-12-25,Christmas Day,"['Public', 'Bank']"
